U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,117900,"Columbia, SC",69.0,76.0,58.0,63.0,67.0,48.0,62.0,41.0,40.0,53.0,61.0,86.0,96.0,110.0,91.0,94.0,1115.0
Metropolitan Statistical Area,135660,"Niles-Benton Harbor, MI",48.0,36.0,29.0,40.0,34.0,33.0,55.0,48.0,40.0,52.0,74.0,104.0,108.0,132.0,133.0,137.0,1103.0
Metropolitan Statistical Area,121660,"Eugene-Springfield, OR",73.0,75.0,66.0,71.0,43.0,56.0,62.0,68.0,52.0,57.0,84.0,56.0,80.0,84.0,87.0,79.0,1093.0
Metropolitan Statistical Area,121780,"Evansville, IN-KY",66.0,38.0,65.0,44.0,57.0,52.0,47.0,57.0,56.0,52.0,81.0,69.0,89.0,97.0,92.0,118.0,1080.0
Metropolitan Statistical Area,119340,"Davenport-Moline-Rock Island, IA-IL",44.0,70.0,74.0,84.0,80.0,45.0,57.0,59.0,56.0,49.0,71.0,92.0,69.0,80.0,73.0,76.0,1079.0
Metropolitan Statistical Area,128420,"Kennewick-Pasco-Richland, WA",59.0,56.0,65.0,93.0,74.0,64.0,79.0,40.0,48.0,51.0,74.0,69.0,72.0,69.0,82.0,84.0,1079.0
Metropolitan Statistical Area,116700,"Charleston-North Charleston-Summerville, SC",82.0,65.0,93.0,63.0,71.0,52.0,52.0,41.0,36.0,46.0,55.0,62.0,82.0,96.0,95.0,69.0,1060.0
Metropolitan Statistical Area,111180,"Ames, IA",65.0,75.0,42.0,58.0,62.0,46.0,64.0,61.0,51.0,69.0,71.0,58.0,64.0,77.0,78.0,84.0,1025.0
Metropolitan Statistical Area,113980,"Blacksburg-Christiansburg-Radford, VA",42.0,36.0,55.0,58.0,65.0,69.0,71.0,66.0,63.0,51.0,61.0,53.0,63.0,87.0,95.0,84.0,1019.0
Metropolitan Statistical Area,143900,"Spartanburg, SC",59.0,73.0,86.0,99.0,76.0,76.0,83.0,50.0,43.0,56.0,47.0,53.0,44.0,43.0,59.0,60.0,1007.0
Metropolitan Statistical Area,141500,"Salinas, CA",54.0,57.0,68.0,51.0,59.0,64.0,55.0,54.0,47.0,45.0,57.0,73.0,55.0,89.0,90.0,74.0,992.0
Metropolitan Statistical Area,126180,"Honolulu, HI",52.0,71.0,57.0,50.0,47.0,32.0,54.0,46.0,56.0,43.0,77.0,63.0,73.0,88.0,93.0,88.0,990.0
Metropolitan Statistical Area,144300,"State College, PA",56.0,72.0,64.0,60.0,55.0,42.0,43.0,51.0,47.0,36.0,66.0,64.0,73.0,93.0,94.0,72.0,988.0
Metropolitan Statistical Area,130700,"Lincoln, NE",83.0,64.0,62.0,46.0,52.0,51.0,51.0,64.0,51.0,50.0,59.0,50.0,70.0,84.0,77.0,72.0,986.0
Metropolitan Statistical Area,112540,"Bakersfield-Delano, CA",66.0,68.0,56.0,61.0,74.0,48.0,43.0,60.0,58.0,55.0,51.0,70.0,61.0,66.0,56.0,85.0,978.0
Metropolitan Statistical Area,126980,"Iowa City, IA",42.0,70.0,53.0,47.0,38.0,34.0,52.0,42.0,53.0,51.0,85.0,58.0,79.0,65.0,90.0,85.0,944.0
Metropolitan Statistical Area,121300,"Elmira, NY",46.0,78.0,76.0,84.0,75.0,51.0,37.0,44.0,28.0,29.0,48.0,60.0,53.0,69.0,81.0,75.0,934.0
Metropolitan Statistical Area,114020,"Bloomington, IN",21.0,27.0,29.0,40.0,26.0,27.0,29.0,24.0,22.0,38.0,91.0,77.0,112.0,110.0,131.0,129.0,933.0
Metropolitan Statistical Area,149660,"Youngstown-Warren-Boardman, OH-PA",67.0,62.0,80.0,51.0,57.0,43.0,61.0,46.0,55.0,54.0,71.0,57.0,47.0,50.0,52.0,66.0,919.0
Metropolitan Statistical Area,142540,"Scranton--Wilkes-Barre, PA",80.0,67.0,68.0,60.0,69.0,51.0,51.0,58.0,60.0,54.0,48.0,50.0,48.0,54.0,49.0,42.0,908.0
Metropolitan Statistical Area,140220,"Roanoke, VA",60.0,54.0,46.0,40.0,40.0,48.0,51.0,46.0,40.0,36.0,50.0,67.0,67.0,56.0,95.0,98.0,894.0
Metropolitan Statistical Area,144700,"Stockton, CA",56.0,51.0,58.0,52.0,40.0,36.0,46.0,41.0,32.0,34.0,54.0,62.0,60.0,80.0,84.0,94.0,880.0
Metropolitan Statistical Area,134940,"Naples-Marco Island, FL",42.0,32.0,43.0,59.0,32.0,43.0,69.0,53.0,28.0,39.0,46.0,61.0,65.0,86.0,88.0,81.0,867.0
Metropolitan Statistical Area,111700,"Asheville, NC",59.0,63.0,70.0,53.0,56.0,60.0,53.0,38.0,31.0,49.0,38.0,42.0,52.0,67.0,71.0,57.0,859.0
Metropolitan Statistical Area,130860,"Logan, UT-ID",48.0,42.0,32.0,35.0,34.0,45.0,46.0,34.0,34.0,64.0,68.0,55.0,67.0,57.0,78.0,89.0,828.0
Metropolitan Statistical Area,119660,"Deltona-Daytona Beach-Ormond Beach, FL",59.0,52.0,51.0,51.0,44.0,37.0,42.0,44.0,36.0,44.0,49.0,46.0,60.0,65.0,76.0,62.0,818.0
Metropolitan Statistical Area,118020,"Columbus, IN",60.0,51.0,47.0,52.0,42.0,39.0,37.0,33.0,30.0,38.0,48.0,45.0,43.0,64.0,96.0,91.0,816.0
Metropolitan Statistical Area,129180,"Lafayette, LA",56.0,56.0,51.0,53.0,46.0,41.0,40.0,43.0,39.0,44.0,38.0,54.0,59.0,59.0,74.0,62.0,815.0
Metropolitan Statistical Area,129020,"Kokomo, IN",44.0,45.0,46.0,57.0,59.0,50.0,55.0,66.0,62.0,65.0,55.0,39.0,42.0,58.0,34.0,36.0,813.0
Metropolitan Statistical Area,117780,"College Station-Bryan, TX",44.0,46.0,63.0,51.0,46.0,37.0,48.0,53.0,29.0,33.0,50.0,45.0,65.0,60.0,61.0,67.0,798.0
Metropolitan Statistical Area,130780,"Little Rock-North Little Rock-Conway, AR",75.0,73.0,48.0,37.0,37.0,49.0,46.0,36.0,30.0,36.0,58.0,48.0,54.0,52.0,56.0,61.0,796.0
Metropolitan Statistical Area,145220,"Tallahassee, FL",31.0,26.0,50.0,42.0,40.0,46.0,37.0,34.0,25.0,36.0,72.0,55.0,72.0,96.0,65.0,52.0,779.0
Metropolitan Statistical Area,146700,"Vallejo-Fairfield, CA",37.0,48.0,38.0,42.0,45.0,38.0,44.0,38.0,45.0,45.0,60.0,50.0,62.0,63.0,56.0,67.0,777.0
Metropolitan Statistical Area,115980,"Cape Coral-Fort Myers, FL",42.0,49.0,39.0,46.0,50.0,39.0,47.0,26.0,39.0,33.0,44.0,37.0,49.0,76.0,65.0,85.0,766.0
Metropolitan Statistical Area,122020,"Fargo, ND-MN",47.0,40.0,30.0,21.0,17.0,30.0,31.0,39.0,43.0,35.0,55.0,54.0,53.0,84.0,107.0,75.0,761.0
Metropolitan Statistical Area,140980,"Saginaw-Saginaw Township North, MI",40.0,26.0,62.0,64.0,55.0,33.0,41.0,35.0,27.0,34.0,49.0,55.0,55.0,58.0,64.0,60.0,758.0
Metropolitan Statistical Area,148900,"Wilmington, NC",33.0,56.0,44.0,46.0,44.0,23.0,33.0,41.0,32.0,52.0,38.0,49.0,56.0,63.0,81.0,54.0,745.0
Metropolitan Statistical Area,123420,"Fresno, CA",58.0,40.0,44.0,36.0,40.0,39.0,33.0,27.0,25.0,31.0,39.0,56.0,53.0,73.0,78.0,72.0,744.0
Metropolitan Statistical Area,112260,"Augusta-Richmond County, GA-SC",38.0,50.0,61.0,44.0,29.0,29.0,31.0,41.0,41.0,39.0,56.0,52.0,61.0,58.0,56.0,54.0,740.0
Metropolitan Statistical Area,116860,"Chattanooga, TN-GA",60.0,71.0,53.0,44.0,53.0,43.0,36.0,35.0,37.0,29.0,40.0,33.0,45.0,47.0,57.0,45.0,728.0
Metropolitan Statistical Area,126820,"Idaho Falls, ID",37.0,38.0,44.0,35.0,39.0,43.0,61.0,61.0,32.0,36.0,69.0,51.0,39.0,61.0,46.0,34.0,726.0
Metropolitan Statistical Area,121140,"Elkhart-Goshen, IN",50.0,47.0,39.0,43.0,53.0,47.0,39.0,44.0,27.0,30.0,43.0,44.0,49.0,57.0,54.0,47.0,713.0
Metropolitan Statistical Area,113460,"Bend, OR",31.0,31.0,24.0,21.0,29.0,44.0,46.0,39.0,37.0,49.0,46.0,61.0,35.0,63.0,63.0,67.0,686.0
Metropolitan Statistical Area,122220,"Fayetteville-Springdale-Rogers, AR-MO",48.0,31.0,47.0,32.0,42.0,30.0,39.0,31.0,26.0,32.0,31.0,42.0,52.0,54.0,66.0,80.0,683.0
Metropolitan Statistical Area,112700,"Barnstable Town, MA",50.0,46.0,32.0,42.0,44.0,33.0,46.0,40.0,39.0,35.0,45.0,32.0,48.0,40.0,53.0,52.0,677.0
Metropolitan Statistical Area,143100,"Sheboygan, WI",33.0,43.0,50.0,38.0,45.0,38.0,37.0,23.0,27.0,44.0,47.0,35.0,37.0,40.0,60.0,60.0,657.0
Metropolitan Statistical Area,133780,"Monroe, MI",38.0,42.0,36.0,35.0,48.0,18.0,37.0,23.0,35.0,34.0,47.0,46.0,41.0,57.0,63.0,56.0,656.0
Metropolitan Statistical Area,113380,"Bellingham, WA",41.0,31.0,32.0,34.0,31.0,32.0,39.0,42.0,32.0,33.0,45.0,43.0,36.0,48.0,44.0,56.0,619.0
Metropolitan Statistical Area,112020,"Athens-Clarke County, GA",66.0,46.0,37.0,29.0,27.0,23.0,26.0,26.0,40.0,30.0,40.0,48.0,40.0,38.0,51.0,49.0,616.0
Metropolitan Statistical Area,141420,"Salem, OR",38.0,43.0,41.0,37.0,50.0,32.0,44.0,41.0,23.0,26.0,37.0,38.0,37.0,45.0,46.0,36.0,614.0
Metropolitan Statistical Area,142140,"Santa Fe, NM",30.0,37.0,29.0,40.0,34.0,20.0,46.0,27.0,30.0,33.0,63.0,47.0,41.0,46.0,40.0,50.0,613.0
Metropolitan Statistical Area,137860,"Pensacola-Ferry Pass-Brent, FL",52.0,31.0,27.0,42.0,28.0,44.0,28.0,40.0,31.0,29.0,33.0,40.0,35.0,37.0,48.0,48.0,593.0
Metropolitan Statistical Area,124580,"Green Bay, WI",45.0,54.0,42.0,35.0,31.0,36.0,50.0,32.0,28.0,29.0,30.0,31.0,30.0,37.0,28.0,42.0,580.0
Metropolitan Statistical Area,133700,"Modesto, CA",42.0,54.0,35.0,32.0,32.0,14.0,37.0,30.0,23.0,19.0,34.0,43.0,43.0,45.0,51.0,36.0,570.0
Metropolitan Statistical Area,122380,"Flagstaff, AZ",27.0,25.0,24.0,26.0,23.0,25.0,19.0,13.0,19.0,20.0,41.0,58.0,63.0,52.0,68.0,64.0,564.0
Metropolitan Statistical Area,121340,"El Paso, TX",29.0,32.0,46.0,45.0,51.0,36.0,39.0,33.0,25.0,16.0,23.0,23.0,28.0,29.0,38.0,34.0,527.0
Metropolitan Statistical Area,136500,"Olympia, WA",21.0,30.0,35.0,28.0,27.0,20.0,33.0,28.0,34.0,21.0,34.0,36.0,38.0,50.0,40.0,43.0,518.0
Metropolitan Statistical Area,120740,"Eau Claire, WI",36.0,34.0,29.0,32.0,45.0,40.0,33.0,20.0,24.0,23.0,33.0,22.0,28.0,30.0,38.0,43.0,510.0
Metropolitan Statistical Area,147940,"Waterloo-Cedar Falls, IA",23.0,33.0,42.0,32.0,32.0,32.0,31.0,24.0,21.0,31.0,25.0,29.0,30.0,46.0,28.0,49.0,508.0
Metropolitan Statistical Area,129460,"Lakeland-Winter Haven, FL",39.0,39.0,31.0,40.0,37.0,19.0,20.0,27.0,26.0,18.0,16.0,38.0,51.0,36.0,34.0,40.0,507.0
Metropolitan Statistical Area,131340,"Lynchburg, VA",37.0,38.0,41.0,31.0,23.0,26.0,17.0,27.0,26.0,21.0,23.0,31.0,25.0,51.0,42.0,46.0,505.0
Metropolitan Statistical Area,117860,"Columbia, MO",22.0,32.0,27.0,30.0,24.0,19.0,32.0,18.0,12.0,18.0,31.0,39.0,49.0,48.0,58.0,34.0,493.0
Metropolitan Statistical Area,116620,"Charleston, WV",43.0,49.0,44.0,34.0,19.0,28.0,20.0,25.0,12.0,22.0,22.0,19.0,32.0,45.0,33.0,26.0,473.0
Metropolitan Statistical Area,143580,"Sioux City, IA-NE-SD",32.0,34.0,50.0,42.0,43.0,38.0,40.0,22.0,24.0,18.0,25.0,17.0,26.0,22.0,15.0,25.0,473.0
Metropolitan Statistical Area,122500,"Florence, SC",42.0,30.0,34.0,27.0,37.0,26.0,47.0,30.0,20.0,20.0,25.0,21.0,25.0,31.0,33.0,23.0,471.0
Metropolitan Statistical Area,144180,"Springfield, MO",34.0,42.0,32.0,31.0,24.0,18.0,24.0,32.0,30.0,24.0,32.0,26.0,26.0,37.0,23.0,35.0,470.0
Metropolitan Statistical Area,134900,"Napa, CA",21.0,29.0,17.0,29.0,28.0,20.0,26.0,25.0,15.0,27.0,31.0,32.0,34.0,35.0,39.0,43.0,450.0
Metropolitan Statistical Area,127500,"Janesville, WI",21.0,33.0,24.0,21.0,18.0,17.0,23.0,21.0,19.0,21.0,27.0,38.0,39.0,44.0,39.0,39.0,444.0
Metropolitan Statistical Area,114060,"Bloomington-Normal, IL",22.0,13.0,22.0,32.0,13.0,23.0,14.0,18.0,27.0,23.0,13.0,23.0,24.0,39.0,57.0,74.0,437.0
Metropolitan Statistical Area,111340,"Anderson, SC",23.0,31.0,25.0,28.0,22.0,19.0,26.0,14.0,20.0,13.0,19.0,25.0,34.0,43.0,41.0,45.0,428.0
Metropolitan Statistical Area,129940,"Lawrence, KS",24.0,10.0,30.0,18.0,11.0,16.0,17.0,18.0,14.0,20.0,23.0,25.0,46.0,38.0,62.0,52.0,424.0
Metropolitan Statistical Area,127140,"Jackson, MS",42.0,32.0,20.0,37.0,28.0,23.0,13.0,24.0,13.0,18.0,23.0,31.0,29.0,27.0,28.0,27.0,415.0
Metropolitan Statistical Area,120220,"Dubuque, IA",17.0,28.0,18.0,14.0,8.0,16.0,13.0,18.0,15.0,14.0,27.0,25.0,25.0,46.0,63.0,61.0,408.0
Metropolitan Statistical Area,127100,"Jackson, MI",34.0,26.0,39.0,32.0,30.0,22.0,22.0,19.0,22.0,15.0,18.0,18.0,22.0,23.0,25.0,39.0,406.0
Metropolitan Statistical Area,111260,"Anchorage, AK",31.0,33.0,33.0,30.0,28.0,25.0,25.0,10.0,12.0,29.0,19.0,15.0,20.0,34.0,33.0,26.0,403.0
Metropolitan Statistical Area,143620,"Sioux Falls, SD",28.0,20.0,19.0,16.0,14.0,12.0,10.0,16.0,14.0,13.0,25.0,35.0,33.0,52.0,54.0,42.0,403.0
Metropolitan Statistical Area,127740,"Johnson City, TN",21.0,28.0,47.0,33.0,15.0,19.0,19.0,19.0,20.0,17.0,27.0,26.0,27.0,23.0,27.0,28.0,396.0
Metropolitan Statistical Area,122540,"Fond du Lac, WI",32.0,25.0,26.0,27.0,28.0,32.0,31.0,27.0,26.0,10.0,18.0,16.0,18.0,24.0,23.0,25.0,388.0
Metropolitan Statistical Area,136100,"Ocala, FL",19.0,19.0,24.0,22.0,12.0,16.0,21.0,23.0,11.0,18.0,23.0,20.0,37.0,45.0,43.0,25.0,375.0
Metropolitan Statistical Area,131180,"Lubbock, TX",31.0,32.0,38.0,28.0,15.0,17.0,29.0,18.0,20.0,21.0,14.0,11.0,17.0,26.0,31.0,25.0,373.0
Metropolitan Statistical Area,138340,"Pittsfield, MA",33.0,30.0,27.0,21.0,23.0,10.0,15.0,16.0,6.0,26.0,23.0,26.0,20.0,32.0,27.0,36.0,371.0
Metropolitan Statistical Area,111300,"Anderson, IN",11.0,22.0,24.0,26.0,26.0,27.0,18.0,5.0,7.0,9.0,22.0,17.0,22.0,43.0,46.0,33.0,358.0
Metropolitan Statistical Area,144100,"Springfield, IL",23.0,22.0,33.0,13.0,7.0,14.0,12.0,20.0,14.0,21.0,32.0,25.0,23.0,22.0,39.0,37.0,357.0
Metropolitan Statistical Area,146540,"Utica-Rome, NY",23.0,23.0,14.0,19.0,24.0,17.0,25.0,16.0,17.0,15.0,23.0,29.0,22.0,32.0,15.0,40.0,354.0
Metropolitan Statistical Area,127900,"Joplin, MO",29.0,26.0,24.0,27.0,33.0,11.0,22.0,17.0,16.0,21.0,18.0,12.0,17.0,26.0,29.0,25.0,353.0
Metropolitan Statistical Area,112220,"Auburn-Opelika, AL",22.0,16.0,27.0,19.0,18.0,18.0,14.0,23.0,20.0,26.0,23.0,24.0,17.0,34.0,30.0,25.0,352.0
Metropolitan Statistical Area,131860,"Mankato-North Mankato, MN",17.0,30.0,13.0,16.0,14.0,11.0,17.0,9.0,9.0,21.0,13.0,28.0,25.0,33.0,49.0,41.0,346.0
Metropolitan Statistical Area,118580,"Corpus Christi, TX",29.0,31.0,23.0,21.0,22.0,17.0,16.0,12.0,14.0,17.0,19.0,18.0,19.0,21.0,20.0,45.0,344.0
Metropolitan Statistical Area,137460,"Panama City-Lynn Haven-Panama City Beach, FL",27.0,31.0,34.0,28.0,25.0,31.0,26.0,25.0,15.0,13.0,15.0,7.0,19.0,16.0,13.0,17.0,339.0
Metropolitan Statistical Area,123580,"Gainesville, GA",17.0,24.0,12.0,20.0,20.0,22.0,27.0,19.0,13.0,17.0,23.0,19.0,31.0,19.0,27.0,28.0,338.0
Metropolitan Statistical Area,113140,"Beaumont-Port Arthur, TX",30.0,29.0,14.0,23.0,14.0,13.0,16.0,22.0,12.0,14.0,22.0,23.0,19.0,23.0,29.0,34.0,337.0
Metropolitan Statistical Area,127180,"Jackson, TN",20.0,20.0,23.0,29.0,21.0,32.0,49.0,28.0,23.0,11.0,19.0,16.0,13.0,11.0,11.0,11.0,337.0
Metropolitan Statistical Area,143340,"Shreveport-Bossier City, LA",13.0,23.0,22.0,20.0,10.0,10.0,20.0,6.0,13.0,20.0,32.0,31.0,28.0,30.0,26.0,30.0,334.0
Metropolitan Statistical Area,112980,"Battle Creek, MI",24.0,26.0,19.0,20.0,19.0,22.0,24.0,16.0,12.0,11.0,13.0,26.0,24.0,19.0,27.0,27.0,329.0
Metropolitan Statistical Area,139140,"Prescott, AZ",16.0,24.0,18.0,22.0,20.0,13.0,23.0,18.0,22.0,14.0,17.0,13.0,23.0,24.0,35.0,30.0,329.0
Metropolitan Statistical Area,113020,"Bay City, MI",22.0,23.0,21.0,30.0,22.0,21.0,20.0,23.0,18.0,21.0,12.0,15.0,11.0,26.0,21.0,22.0,328.0
Metropolitan Statistical Area,132780,"Medford, OR",18.0,14.0,24.0,11.0,13.0,13.0,18.0,15.0,13.0,14.0,24.0,13.0,21.0,22.0,43.0,51.0,327.0
Metropolitan Statistical Area,137620,"Parkersburg-Marietta-Vienna, WV-OH",30.0,28.0,26.0,21.0,20.0,12.0,19.0,27.0,19.0,12.0,26.0,18.0,22.0,14.0,17.0,14.0,325.0
Metropolitan Statistical Area,133660,"Mobile, AL",26.0,31.0,20.0,19.0,17.0,16.0,29.0,20.0,10.0,19.0,18.0,13.0,17.0,33.0,17.0,16.0,321.0
Metropolitan Statistical Area,142340,"Savannah, GA",15.0,24.0,16.0,15.0,21.0,16.0,15.0,15.0,14.0,12.0,14.0,23.0,36.0,19.0,30.0,34.0,319.0
Metropolitan Statistical Area,126380,"Houma-Bayou Cane-Thibodaux, LA",17.0,23.0,14.0,15.0,15.0,23.0,25.0,21.0,10.0,22.0,22.0,7.0,27.0,25.0,28.0,24.0,318.0
Metropolitan Statistical Area,120260,"Duluth, MN-WI",15.0,10.0,25.0,26.0,18.0,12.0,14.0,15.0,10.0,19.0,14.0,26.0,29.0,27.0,22.0,34.0,316.0
Metropolitan Statistical Area,129100,"La Crosse, WI-MN",29.0,27.0,22.0,26.0,16.0,14.0,10.0,15.0,16.0,15.0,22.0,18.0,20.0,23.0,17.0,22.0,312.0
Metropolitan Statistical Area,134060,"Morgantown, WV",14.0,11.0,14.0,21.0,11.0,10.0,10.0,14.0,12.0,20.0,31.0,19.0,24.0,31.0,35.0,32.0,309.0
Metropolitan Statistical Area,131740,"Manhattan, KS",12.0,15.0,14.0,13.0,17.0,13.0,9.0,14.0,12.0,14.0,19.0,21.0,28.0,30.0,35.0,39.0,305.0
Metropolitan Statistical Area,130980,"Longview, TX",27.0,23.0,21.0,15.0,14.0,12.0,13.0,12.0,19.0,8.0,17.0,26.0,19.0,29.0,26.0,20.0,301.0
Metropolitan Statistical Area,124020,"Glens Falls, NY",26.0,27.0,19.0,17.0,14.0,15.0,14.0,21.0,11.0,16.0,11.0,14.0,18.0,20.0,21.0,38.0,299.0
Metropolitan Statistical Area,134740,"Muskegon-Norton Shores, MI",28.0,37.0,36.0,25.0,25.0,14.0,15.0,16.0,10.0,15.0,10.0,16.0,6.0,15.0,16.0,15.0,295.0
Metropolitan Statistical Area,124780,"Greenville, NC",21.0,16.0,16.0,13.0,14.0,10.0,14.0,15.0,13.0,15.0,26.0,26.0,24.0,21.0,25.0,24.0,293.0
Metropolitan Statistical Area,146340,"Tyler, TX",10.0,21.0,13.0,11.0,10.0,13.0,9.0,19.0,18.0,20.0,27.0,14.0,26.0,28.0,30.0,22.0,291.0
Metropolitan Statistical Area,133260,"Midland, TX",16.0,16.0,11.0,8.0,12.0,10.0,19.0,13.0,15.0,18.0,21.0,18.0,14.0,30.0,36.0,33.0,290.0
Metropolitan Statistical Area,148700,"Williamsport, PA",16.0,21.0,44.0,23.0,23.0,16.0,19.0,16.0,18.0,14.0,23.0,20.0,3.0,10.0,9.0,12.0,287.0
Metropolitan Statistical Area,119500,"Decatur, IL",17.0,17.0,22.0,22.0,18.0,17.0,12.0,10.0,11.0,14.0,21.0,24.0,16.0,19.0,20.0,17.0,277.0
Metropolitan Statistical Area,142680,"Sebastian-Vero Beach, FL",16.0,12.0,9.0,15.0,13.0,7.0,14.0,10.0,10.0,15.0,24.0,15.0,25.0,28.0,29.0,38.0,276.0
Metropolitan Statistical Area,143300,"Sherman-Denison, TX",18.0,24.0,26.0,23.0,21.0,20.0,19.0,18.0,10.0,10.0,11.0,11.0,14.0,16.0,9.0,16.0,266.0
Metropolitan Statistical Area,117660,"Coeur d'Alene, ID",14.0,15.0,9.0,14.0,13.0,13.0,12.0,6.0,6.0,15.0,13.0,18.0,18.0,22.0,32.0,35.0,255.0
Metropolitan Statistical Area,141980,"San Juan-Caguas-Guaynabo, PR",18.0,8.0,13.0,18.0,11.0,16.0,11.0,20.0,10.0,9.0,22.0,14.0,21.0,14.0,29.0,21.0,255.0
Metropolitan Statistical Area,115500,"Burlington, NC",15.0,26.0,19.0,18.0,15.0,15.0,12.0,4.0,13.0,10.0,11.0,23.0,12.0,16.0,18.0,26.0,253.0
Metropolitan Statistical Area,139460,"Punta Gorda, FL",16.0,20.0,15.0,18.0,12.0,13.0,9.0,14.0,10.0,14.0,17.0,16.0,25.0,17.0,17.0,22.0,250.0
Metropolitan Statistical Area,125180,"Hagerstown-Martinsburg, MD-WV",12.0,16.0,27.0,21.0,12.0,10.0,13.0,10.0,10.0,16.0,12.0,16.0,17.0,12.0,22.0,18.0,244.0
Metropolitan Statistical Area,141060,"St. Cloud, MN",23.0,10.0,15.0,18.0,19.0,15.0,13.0,9.0,15.0,6.0,10.0,18.0,24.0,16.0,16.0,21.0,243.0
Metropolitan Statistical Area,125060,"Gulfport-Biloxi, MS",19.0,27.0,27.0,22.0,11.0,14.0,6.0,11.0,14.0,16.0,16.0,12.0,5.0,13.0,17.0,12.0,242.0
Metropolitan Statistical Area,131420,"Macon, GA",20.0,13.0,16.0,16.0,19.0,12.0,13.0,15.0,12.0,11.0,14.0,10.0,9.0,20.0,26.0,16.0,242.0
Metropolitan Statistical Area,112100,"Atlantic City-Hammonton, NJ",19.0,9.0,18.0,16.0,20.0,7.0,12.0,15.0,21.0,14.0,17.0,13.0,18.0,14.0,12.0,12.0,237.0
Metropolitan Statistical Area,118880,"Crestview-Fort Walton Beach-Destin, FL",18.0,30.0,27.0,16.0,13.0,9.0,19.0,13.0,10.0,4.0,7.0,13.0,22.0,11.0,9.0,18.0,234.0
Metropolitan Statistical Area,133860,"Montgomery, AL",15.0,17.0,21.0,15.0,18.0,14.0,17.0,10.0,13.0,12.0,12.0,3.0,13.0,17.0,19.0,17.0,231.0
Metropolitan Statistical Area,128660,"Killeen-Temple-Fort Hood, TX",14.0,20.0,19.0,16.0,17.0,16.0,17.0,16.0,8.0,11.0,10.0,10.0,12.0,12.0,11.0,21.0,230.0
Metropolitan Statistical Area,134820,"Myrtle Beach-North Myrtle Beach-Conway, SC",5.0,8.0,14.0,13.0,11.0,16.0,13.0,13.0,12.0,16.0,15.0,16.0,16.0,17.0,18.0,22.0,225.0
Metropolitan Statistical Area,141100,"St. George, UT",6.0,14.0,13.0,8.0,13.0,12.0,7.0,7.0,10.0,9.0,13.0,15.0,18.0,24.0,27.0,25.0,221.0
Metropolitan Statistical Area,111100,"Amarillo, TX",22.0,16.0,10.0,12.0,6.0,6.0,15.0,11.0,7.0,12.0,23.0,15.0,11.0,13.0,15.0,18.0,212.0
Metropolitan Statistical Area,148140,"Wausau, WI",17.0,13.0,17.0,16.0,12.0,10.0,9.0,9.0,7.0,10.0,14.0,16.0,16.0,19.0,14.0,11.0,209.0
Metropolitan Statistical Area,124300,"Grand Junction, CO",10.0,17.0,13.0,10.0,12.0,7.0,8.0,11.0,10.0,7.0,13.0,11.0,15.0,22.0,21.0,21.0,208.0
Metropolitan Statistical Area,144220,"Springfield, OH",17.0,9.0,9.0,18.0,10.0,13.0,6.0,7.0,10.0,12.0,17.0,13.0,10.0,17.0,22.0,16.0,206.0
Metropolitan Statistical Area,130140,"Lebanon, PA",15.0,15.0,11.0,9.0,5.0,12.0,10.0,7.0,15.0,9.0,10.0,14.0,19.0,21.0,14.0,18.0,204.0
Metropolitan Statistical Area,117020,"Chico, CA",15.0,13.0,16.0,6.0,8.0,7.0,15.0,7.0,7.0,11.0,15.0,12.0,20.0,20.0,18.0,16.0,203.0
Metropolitan Statistical Area,139820,"Redding, CA",15.0,16.0,14.0,14.0,16.0,8.0,13.0,14.0,12.0,8.0,9.0,8.0,11.0,11.0,15.0,16.0,200.0
Metropolitan Statistical Area,149020,"Winchester, VA-WV",4.0,12.0,9.0,13.0,12.0,4.0,12.0,8.0,10.0,9.0,12.0,13.0,12.0,22.0,25.0,21.0,197.0
Metropolitan Statistical Area,147380,"Waco, TX",13.0,11.0,17.0,11.0,12.0,11.0,8.0,10.0,10.0,6.0,6.0,19.0,10.0,22.0,12.0,17.0,195.0
Metropolitan Statistical Area,129740,"Las Cruces, NM",9.0,16.0,11.0,9.0,8.0,9.0,11.0,16.0,5.0,11.0,21.0,15.0,16.0,16.0,13.0,8.0,194.0
Metropolitan Statistical Area,134100,"Morristown, TN",8.0,6.0,21.0,23.0,15.0,13.0,11.0,6.0,9.0,16.0,9.0,9.0,13.0,6.0,10.0,16.0,191.0
Metropolitan Statistical Area,124220,"Grand Forks, ND-MN",13.0,11.0,16.0,5.0,8.0,12.0,7.0,6.0,5.0,18.0,9.0,12.0,18.0,18.0,18.0,14.0,190.0
Metropolitan Statistical Area,128100,"Kankakee-Bradley, IL",5.0,10.0,10.0,7.0,10.0,21.0,7.0,10.0,10.0,6.0,15.0,11.0,17.0,28.0,13.0,10.0,190.0
Metropolitan Statistical Area,133540,"Missoula, MT",13.0,16.0,17.0,15.0,10.0,17.0,13.0,8.0,7.0,7.0,12.0,5.0,7.0,12.0,12.0,19.0,190.0
Metropolitan Statistical Area,126580,"Huntington-Ashland, WV-KY-OH",15.0,14.0,19.0,11.0,9.0,6.0,9.0,7.0,17.0,8.0,14.0,7.0,14.0,14.0,8.0,14.0,186.0
