U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,110580,"Albany-Schenectady-Troy, NY",495.0,613.0,764.0,661.0,583.0,468.0,544.0,492.0,516.0,554.0,736.0,713.0,738.0,828.0,1049.0,1090.0,10841.0
Metropolitan Statistical Area,112580,"Baltimore-Towson, MD",645.0,685.0,669.0,650.0,602.0,523.0,601.0,532.0,531.0,576.0,711.0,667.0,712.0,786.0,841.0,846.0,10574.0
Metropolitan Statistical Area,141180,"St. Louis, MO-IL",632.0,674.0,688.0,672.0,596.0,470.0,537.0,485.0,452.0,533.0,721.0,616.0,722.0,850.0,863.0,779.0,10290.0
Metropolitan Statistical Area,139100,"Poughkeepsie-Newburgh-Middletown, NY",523.0,603.0,576.0,558.0,475.0,415.0,584.0,462.0,593.0,637.0,825.0,756.0,738.0,778.0,885.0,871.0,10277.0
Metropolitan Statistical Area,114860,"Bridgeport-Stamford-Norwalk, CT",669.0,628.0,594.0,576.0,562.0,533.0,561.0,493.0,517.0,519.0,691.0,682.0,683.0,699.0,678.0,636.0,9721.0
Metropolitan Statistical Area,114500,"Boulder, CO",458.0,470.0,489.0,486.0,547.0,427.0,489.0,441.0,427.0,502.0,599.0,595.0,698.0,768.0,913.0,831.0,9137.0
Metropolitan Statistical Area,133340,"Milwaukee-Waukesha-West Allis, WI",532.0,645.0,662.0,546.0,489.0,461.0,575.0,482.0,429.0,506.0,559.0,552.0,567.0,644.0,650.0,689.0,8988.0
Metropolitan Statistical Area,125540,"Hartford-West Hartford-East Hartford, CT",481.0,515.0,531.0,463.0,435.0,401.0,518.0,391.0,412.0,409.0,557.0,635.0,757.0,703.0,871.0,845.0,8920.0
Metropolitan Statistical Area,126900,"Indianapolis-Carmel, IN",544.0,513.0,499.0,485.0,409.0,344.0,446.0,415.0,369.0,397.0,495.0,497.0,613.0,663.0,737.0,735.0,8161.0
Metropolitan Statistical Area,128140,"Kansas City, MO-KS",291.0,230.0,308.0,298.0,321.0,286.0,383.0,394.0,368.0,376.0,545.0,636.0,912.0,916.0,872.0,816.0,7952.0
Metropolitan Statistical Area,111460,"Ann Arbor, MI",371.0,395.0,356.0,382.0,429.0,394.0,405.0,322.0,368.0,381.0,562.0,564.0,704.0,734.0,776.0,785.0,7928.0
Metropolitan Statistical Area,140900,"Sacramento--Arden-Arcade--Roseville, CA",441.0,429.0,447.0,509.0,487.0,455.0,519.0,431.0,408.0,385.0,478.0,470.0,499.0,505.0,595.0,659.0,7717.0
Metropolitan Statistical Area,137100,"Oxnard-Thousand Oaks-Ventura, CA",375.0,427.0,433.0,460.0,449.0,406.0,458.0,411.0,381.0,383.0,530.0,535.0,571.0,551.0,597.0,571.0,7534.0
Metropolitan Statistical Area,114740,"Bremerton-Silverdale, WA",208.0,222.0,245.0,242.0,214.0,242.0,318.0,340.0,366.0,482.0,608.0,537.0,665.0,785.0,901.0,907.0,7278.0
Metropolitan Statistical Area,142100,"Santa Cruz-Watsonville, CA",355.0,379.0,349.0,370.0,368.0,302.0,400.0,349.0,347.0,381.0,514.0,530.0,624.0,632.0,700.0,678.0,7273.0
Metropolitan Statistical Area,149340,"Worcester, MA",362.0,392.0,341.0,376.0,363.0,285.0,394.0,362.0,372.0,413.0,497.0,536.0,586.0,640.0,638.0,637.0,7191.0
Metropolitan Statistical Area,146060,"Tucson, AZ",268.0,325.0,306.0,306.0,342.0,320.0,373.0,336.0,385.0,412.0,550.0,601.0,583.0,567.0,699.0,641.0,7014.0
Metropolitan Statistical Area,139300,"Providence-New Bedford-Fall River, RI-MA",472.0,411.0,401.0,397.0,477.0,361.0,435.0,393.0,324.0,329.0,403.0,483.0,512.0,511.0,549.0,496.0,6954.0
Metropolitan Statistical Area,120500,"Durham-Chapel Hill, NC",325.0,364.0,328.0,369.0,312.0,295.0,412.0,320.0,345.0,396.0,496.0,522.0,571.0,562.0,637.0,607.0,6861.0
Metropolitan Statistical Area,145300,"Tampa-St. Petersburg-Clearwater, FL",407.0,367.0,337.0,364.0,332.0,290.0,363.0,286.0,327.0,297.0,469.0,490.0,566.0,596.0,695.0,624.0,6810.0
Metropolitan Statistical Area,141620,"Salt Lake City, UT",374.0,388.0,362.0,343.0,337.0,260.0,322.0,309.0,273.0,327.0,443.0,494.0,564.0,584.0,667.0,643.0,6690.0
Metropolitan Statistical Area,115540,"Burlington-South Burlington, VT",311.0,365.0,413.0,359.0,322.0,303.0,371.0,405.0,378.0,384.0,558.0,443.0,384.0,436.0,464.0,367.0,6263.0
Metropolitan Statistical Area,118140,"Columbus, OH",342.0,361.0,355.0,345.0,386.0,256.0,326.0,255.0,265.0,303.0,463.0,445.0,496.0,575.0,548.0,445.0,6165.0
Metropolitan Statistical Area,135300,"New Haven-Milford, CT",385.0,375.0,347.0,337.0,323.0,331.0,330.0,296.0,262.0,312.0,429.0,421.0,444.0,536.0,513.0,457.0,6098.0
Metropolitan Statistical Area,140140,"Riverside-San Bernardino-Ontario, CA",362.0,358.0,380.0,392.0,355.0,308.0,364.0,293.0,291.0,295.0,425.0,376.0,430.0,463.0,486.0,484.0,6061.0
Metropolitan Statistical Area,140340,"Rochester, MN",262.0,265.0,254.0,262.0,287.0,267.0,320.0,264.0,333.0,380.0,492.0,469.0,477.0,508.0,503.0,564.0,5907.0
Metropolitan Statistical Area,122660,"Fort Collins-Loveland, CO",302.0,347.0,371.0,456.0,459.0,430.0,482.0,372.0,315.0,301.0,302.0,289.0,292.0,369.0,388.0,392.0,5861.0
Metropolitan Statistical Area,145940,"Trenton-Ewing, NJ",349.0,366.0,370.0,315.0,261.0,229.0,317.0,262.0,287.0,286.0,399.0,383.0,439.0,484.0,524.0,542.0,5810.0
Metropolitan Statistical Area,110420,"Akron, OH",318.0,359.0,379.0,343.0,329.0,273.0,335.0,266.0,250.0,282.0,333.0,352.0,359.0,402.0,335.0,373.0,5288.0
Metropolitan Statistical Area,131540,"Madison, WI",238.0,258.0,269.0,276.0,228.0,224.0,299.0,250.0,256.0,316.0,398.0,382.0,403.0,452.0,483.0,455.0,5187.0
Metropolitan Statistical Area,110900,"Allentown-Bethlehem-Easton, PA-NJ",387.0,384.0,316.0,311.0,286.0,255.0,271.0,269.0,245.0,287.0,324.0,306.0,360.0,358.0,394.0,320.0,5073.0
Metropolitan Statistical Area,137340,"Palm Bay-Melbourne-Titusville, FL",217.0,277.0,291.0,293.0,296.0,314.0,302.0,299.0,228.0,248.0,272.0,287.0,334.0,383.0,434.0,450.0,4922.0
Metropolitan Statistical Area,131700,"Manchester-Nashua, NH",260.0,257.0,278.0,304.0,283.0,230.0,263.0,258.0,226.0,262.0,327.0,327.0,344.0,353.0,410.0,376.0,4752.0
Metropolitan Statistical Area,136740,"Orlando-Kissimmee-Sanford, FL",183.0,253.0,221.0,248.0,253.0,235.0,252.0,220.0,209.0,246.0,303.0,324.0,402.0,405.0,415.0,446.0,4613.0
Metropolitan Statistical Area,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",273.0,261.0,245.0,216.0,185.0,171.0,209.0,185.0,190.0,211.0,309.0,283.0,398.0,484.0,460.0,451.0,4527.0
Metropolitan Statistical Area,141700,"San Antonio-New Braunfels, TX",245.0,238.0,223.0,207.0,200.0,149.0,198.0,187.0,149.0,169.0,315.0,327.0,376.0,448.0,497.0,413.0,4341.0
Metropolitan Statistical Area,115380,"Buffalo-Niagara Falls, NY",363.0,354.0,333.0,361.0,324.0,218.0,229.0,202.0,177.0,204.0,237.0,256.0,260.0,292.0,272.0,254.0,4336.0
Metropolitan Statistical Area,142060,"Santa Barbara-Santa Maria-Goleta, CA",171.0,186.0,188.0,229.0,201.0,209.0,211.0,238.0,173.0,207.0,255.0,274.0,315.0,367.0,438.0,468.0,4130.0
Metropolitan Statistical Area,110740,"Albuquerque, NM",223.0,251.0,248.0,241.0,246.0,177.0,209.0,187.0,182.0,199.0,257.0,250.0,290.0,280.0,289.0,294.0,3823.0
Metropolitan Statistical Area,124860,"Greenville-Mauldin-Easley, SC",136.0,178.0,181.0,167.0,152.0,147.0,201.0,146.0,134.0,163.0,189.0,282.0,423.0,388.0,441.0,479.0,3807.0
Metropolitan Statistical Area,129820,"Las Vegas-Paradise, NV",167.0,156.0,141.0,181.0,169.0,191.0,171.0,195.0,189.0,144.0,225.0,231.0,377.0,415.0,429.0,418.0,3799.0
Metropolitan Statistical Area,117820,"Colorado Springs, CO",272.0,278.0,264.0,309.0,281.0,252.0,242.0,190.0,181.0,173.0,201.0,197.0,226.0,226.0,254.0,204.0,3750.0
Metropolitan Statistical Area,139340,"Provo-Orem, UT",132.0,127.0,133.0,124.0,151.0,109.0,155.0,162.0,199.0,242.0,323.0,325.0,361.0,375.0,406.0,396.0,3720.0
Metropolitan Statistical Area,119380,"Dayton, OH",274.0,259.0,288.0,288.0,238.0,171.0,188.0,167.0,147.0,153.0,182.0,185.0,255.0,226.0,239.0,260.0,3519.0
Metropolitan Statistical Area,118700,"Corvallis, OR",131.0,155.0,198.0,211.0,247.0,259.0,323.0,290.0,265.0,229.0,250.0,202.0,194.0,188.0,196.0,135.0,3473.0
Metropolitan Statistical Area,137900,"Peoria, IL",236.0,188.0,186.0,179.0,132.0,128.0,137.0,144.0,170.0,165.0,215.0,233.0,255.0,233.0,310.0,410.0,3321.0
Metropolitan Statistical Area,132820,"Memphis, TN-MS-AR",153.0,144.0,142.0,141.0,133.0,107.0,161.0,159.0,130.0,185.0,296.0,302.0,308.0,311.0,294.0,326.0,3290.0
Metropolitan Statistical Area,139900,"Reno-Sparks, NV",115.0,115.0,122.0,165.0,186.0,145.0,168.0,132.0,149.0,160.0,264.0,276.0,312.0,367.0,328.0,243.0,3247.0
Metropolitan Statistical Area,142220,"Santa Rosa-Petaluma, CA",148.0,154.0,173.0,171.0,216.0,186.0,212.0,163.0,140.0,177.0,213.0,198.0,243.0,217.0,281.0,233.0,3125.0
Metropolitan Statistical Area,124540,"Greeley, CO",118.0,145.0,153.0,163.0,198.0,203.0,233.0,187.0,160.0,174.0,192.0,191.0,215.0,247.0,266.0,280.0,3120.0
Metropolitan Statistical Area,140060,"Richmond, VA",166.0,161.0,169.0,181.0,168.0,132.0,155.0,143.0,143.0,156.0,258.0,224.0,219.0,232.0,253.0,243.0,3003.0
Metropolitan Statistical Area,130460,"Lexington-Fayette, KY",176.0,203.0,179.0,170.0,155.0,134.0,184.0,189.0,201.0,157.0,230.0,187.0,209.0,173.0,217.0,181.0,2945.0
